pmid,journal,impact_factor,policy_strength,is_usa_address,is_nih_funded,num_authors,any_nih_data_sharing_applies,any_nih_data_sharing_new_grant,sum_of_max_award_for_each_grant,any_direct_cost_over_500k,any_new_or_renewed_since_2003,first_first_year,first_hindex,first_aindex,first_num_papers,first_total_pmc_citations,last_first_year,last_hindex,last_aindex,last_num_papers,last_total_pmc_citations,is_data_shared
17616664,Cancer Res.,7.672,2,0,1,13,,,,,,1994,2,7,39,28,1982,12,23,112,532,0
17616710,Cancer Res.,7.672,2,1,1,8,1,0,2540602,1,1,1991,1,2,16,6,1972,8,12,234,341,1
17617570,J. Immunol.,6.068,2,0,0,4,0,0,0,0,0,2007,0,0,0,0,1983,14,30,130,715,0
17620369,Am. J. Pathol.,5.487,1,1,1,8,,,,,,1988,2,2,15,5,1974,27,50,230,2635,1
17620597,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,5,0,0,160355,0,0,1991,7,21,18,181,1981,19,52,146,1651,1
17626786,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,15,0,0,1768287,0,1,2000,9,32,26,330,1975,26,71,116,2520,1
17634407,Blood,10.896,2,0,0,14,0,0,0,0,0,2003,1,1,8,1,1979,6,8,237,187,0
17638890,Cancer Res.,7.672,2,0,0,7,0,0,0,0,0,2001,3,22,5,67,1986,12,15,219,592,0
17638893,Cancer Res.,7.672,2,1,1,8,0,0,1499547,0,1,2000,4,7,14,38,1978,6,12,26,103,1
17640988,Endocrinology,5.045,0,0,0,17,0,0,0,0,0,2006,0,0,1,0,1992,3,4,52,40,0
17640989,Endocrinology,5.045,0,1,0,9,0,0,0,0,0,2003,0,0,10,0,1980,3,3,82,42,1
17640998,Endocrinology,5.045,0,1,1,7,0,0,354424,0,1,1996,2,4,18,11,1983,5,12,149,161,1
17641034,J. Immunol.,6.068,2,1,1,10,0,0,507215,0,0,1978,0,0,10,0,1979,13,30,48,579,0
17641048,J. Immunol.,6.068,2,1,1,8,0,1,4247793,1,1,2004,1,1,6,1,1976,18,38,95,1126,1
17644611,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,0,0,14,0,0,0,0,0,2004,1,15,3,15,2001,3,10,19,41,0
17644732,Blood,10.896,2,1,1,4,0,0,1340053,0,1,2002,1,5,3,5,1991,8,15,49,216,0
17644739,Blood,10.896,2,0,0,10,0,0,0,0,0,2004,2,3,5,9,1995,7,14,73,186,0
17646168,J. Biol. Chem.,5.581,2,1,1,14,1,0,2264101,1,1,2003,1,1,3,1,1998,2,5,23,20,0
17652184,Mol. Endocrinol.,5.337,1,0,0,5,0,0,0,0,0,2003,0,0,4,0,1980,1,3,81,5,0
17660348,FASEB J.,6.791,1,1,1,10,0,0,3576033,1,0,2003,1,2,2,2,1989,5,11,99,160,1
17664279,Mol. Cell. Biol.,6.42,2,1,1,5,0,0,49928,0,1,2007,0,0,0,0,1998,8,128,12,1032,1
17664351,Blood,10.896,2,0,0,8,0,0,0,0,0,1984,3,4,26,19,1991,9,85,48,827,0
17664352,Blood,10.896,2,0,1,12,,,,,,1986,3,3,27,24,1988,15,36,147,891,0
17671178,Cancer Res.,7.672,2,1,1,15,0,0,885238,0,0,1988,6,22,48,174,1990,5,7,112,81,0
17671192,Cancer Res.,7.672,2,1,0,12,0,0,0,0,0,1999,6,43,12,261,1980,16,41,113,912,1
17671215,Cancer Res.,7.672,2,0,0,13,0,0,0,0,0,1981,6,10,103,169,1980,24,52,128,1856,0
17673513,Endocrinology,5.045,0,0,0,6,0,0,0,0,0,2005,1,2,1,2,1994,6,6,28,82,1
17673551,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,0,0,2,0,0,0,0,0,2006,0,0,3,0,1995,8,15,44,210,0
17675553,Blood,10.896,2,0,1,8,0,0,124551,0,0,2006,0,0,1,0,1998,3,6,6,22,0
17675577,Am. J. Pathol.,5.487,1,0,0,8,0,0,0,0,0,1999,1,1,9,1,1986,2,2,98,40,0
17679089,Mol. Cell,13.156,2,1,1,9,1,0,5217567,1,1,2000,4,10,10,47,1995,12,43,47,604,1
17682054,Mol. Cell. Biol.,6.42,2,1,1,4,,,,,,1999,3,3,14,18,1974,14,26,218,824,1
17690103,J. Biol. Chem.,5.581,2,1,1,9,0,0,311100,0,0,2000,2,5,5,11,1975,8,13,80,238,0
17699763,Cancer Res.,7.672,2,1,1,8,0,0,12913455,1,0,1995,1,3,9,4,1966,16,25,481,1733,1
17699774,Cancer Res.,7.672,2,0,1,11,,,,,,2002,1,3,8,4,1974,22,40,124,1467,0
17699775,Cancer Res.,7.672,2,1,1,13,0,0,264441,0,1,2006,1,1,3,1,1991,14,37,37,592,0
17699800,Cancer Res.,7.672,2,1,1,5,,,,,,1995,1,3,7,3,1972,12,18,180,721,1
17702850,Endocrinology,5.045,0,0,0,9,0,0,0,0,0,2002,2,2,3,5,1975,13,22,149,707,0
17703193,EMBO J.,8.662,2,0,0,13,0,0,0,0,0,2007,0,0,0,0,1999,4,7,17,45,0
17707233,Mol. Cell,13.156,2,0,1,18,0,0,669374,0,1,2004,1,1,2,1,1994,8,14,11,128,0
17709396,Mol. Cell. Biol.,6.42,2,0,0,9,0,0,0,0,0,2001,1,1,4,3,1967,16,27,228,968,0
17709551,J. Immunol.,6.068,2,1,0,2,0,0,0,0,0,2004,1,1,2,2,1989,3,4,76,67,0
17711846,J. Biol. Chem.,5.581,2,1,1,7,1,0,1389922,1,1,2001,3,4,5,18,1993,16,66,29,1151,0
17716978,J. Biol. Chem.,5.581,2,1,1,4,0,0,537826,0,1,2003,0,0,1,0,1969,14,37,89,844,0
17724083,Mol. Cell. Biol.,6.42,2,1,0,2,0,0,0,0,0,2001,1,4,2,4,1998,8,128,12,1032,1
17728400,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,7,1,0,3903853,1,1,1995,5,6,75,94,1992,6,13,134,191,0
17761518,Blood,10.896,2,1,1,5,0,0,2364746,1,1,1995,3,10,8,34,1994,6,24,35,179,1
17761682,J. Biol. Chem.,5.581,2,0,0,11,0,0,0,0,0,2006,0,0,1,0,1990,9,24,31,314,1
17761794,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,6,0,0,634740,0,0,2002,0,0,5,0,1983,17,54,64,1137,1
17766437,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,0,0,9,0,0,0,0,0,1997,2,5,14,14,1979,24,66,253,2385,0
17785779,J. Immunol.,6.068,2,0,0,6,0,0,0,0,0,2002,0,0,2,0,1986,7,16,91,203,0
17785789,J. Immunol.,6.068,2,0,0,9,0,0,0,0,0,2007,0,0,0,0,1993,0,0,0,0,1
17785802,J. Immunol.,6.068,2,0,0,12,0,0,0,0,0,1990,1,2,14,5,1984,9,18,121,344,0
17803908,Cell,29.887,2,0,0,5,0,0,0,0,0,2000,4,6,17,36,1979,13,21,54,459,1
17804410,J. Biol. Chem.,5.581,2,0,0,14,0,0,0,0,0,2003,1,10,3,10,1997,2,7,13,20,0
17804411,J. Biol. Chem.,5.581,2,0,0,6,0,0,0,0,0,2002,2,2,9,6,1991,9,28,35,301,1
17804723,Cancer Res.,7.672,2,0,0,11,0,0,0,0,0,1997,3,11,13,40,1989,6,24,65,211,0
17804732,Cancer Res.,7.672,2,1,1,8,1,1,7809224,1,1,2004,1,13,4,13,1993,5,13,65,126,1
17805294,Nature,28.751,2,1,0,12,0,0,0,0,0,1998,4,19,8,80,1986,11,50,38,633,1
17823244,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,0,0,6,0,0,0,0,0,2004,3,14,4,43,1994,8,14,27,145,0
17823248,Endocrinology,5.045,0,1,1,3,1,0,1798283,1,1,1996,1,2,8,4,1987,6,13,39,132,0
17823277,Am. J. Pathol.,5.487,1,0,0,8,0,0,0,0,0,2004,1,2,4,3,1992,7,14,93,255,0
17823286,Am. J. Pathol.,5.487,1,0,0,7,0,0,0,0,0,2004,2,2,8,5,1988,12,23,259,792,0
17823410,Cancer Res.,7.672,2,1,1,5,1,0,3095224,1,1,2006,0,0,1,0,1996,5,8,23,61,0
17848551,J. Biol. Chem.,5.581,2,0,0,12,0,0,0,0,0,2001,2,3,11,13,1963,10,24,412,621,0
17855562,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,0,6,0,0,0,0,0,2004,0,0,1,0,2002,3,4,18,20,0
17873064,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,0,1,19,0,0,2147357,1,1,1975,5,9,53,63,1996,3,4,50,21,1
17873875,Nat. Genet.,25.556,2,1,1,17,0,0,745383,0,0,1997,8,20,39,203,1986,14,35,255,968,1
17875642,J. Biol. Chem.,5.581,2,0,0,12,0,0,0,0,0,2007,0,0,0,0,1995,16,28,214,1055,0
17875647,J. Biol. Chem.,5.581,2,0,0,9,0,0,0,0,0,1995,5,8,22,53,1977,14,25,241,948,1
17875716,Cancer Res.,7.672,2,1,1,18,,,,,,1997,1,2,22,3,1980,16,24,375,1468,1
17875930,Mol. Cell. Biol.,6.42,2,1,1,6,,,,,,2007,0,0,0,0,1980,39,68,406,5713,0
17875987,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,0,0,4,0,0,0,0,0,1999,3,5,17,20,1981,7,12,92,176,0
17878305,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,6,1,0,1442115,1,1,2002,3,20,7,69,1988,16,29,58,600,1
17878365,J. Immunol.,6.068,2,1,1,5,0,0,141492,0,0,2003,1,2,4,4,1990,6,17,43,148,0
17881563,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,6,0,0,420000,0,0,1971,5,8,15,61,1983,30,58,210,2990,1
17881565,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,12,0,0,461050,0,1,2003,1,2,4,2,2002,6,14,45,108,1
17889666,Mol. Cell,13.156,2,1,1,4,0,0,740562,0,1,1998,4,13,8,60,1967,36,78,116,4007,1
17897957,J. Biol. Chem.,5.581,2,1,1,7,,,,,,2000,2,2,28,10,1995,7,11,59,150,0
17898169,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,13,1,1,10670500,1,1,1998,4,6,28,51,1992,9,14,82,317,1
17901201,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,41,1,0,5687851,1,1,2002,3,4,10,18,1995,6,11,23,85,1
17908694,J. Biol. Chem.,5.581,2,1,1,4,0,0,807500,0,1,1996,4,7,16,41,1994,7,10,67,157,0
17908789,Mol. Cell. Biol.,6.42,2,0,0,8,0,0,0,0,0,1991,6,24,16,164,1981,10,36,45,454,0
17909047,Cancer Res.,7.672,2,1,1,5,0,0,728104,0,1,1995,4,8,18,44,1979,19,44,187,1356,0
17911267,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,10,0,0,324750,0,1,2001,1,1,5,2,1996,7,25,37,217,0
17911395,J. Endocrinol.,2.636,1,1,1,5,0,0,335400,0,1,1984,4,7,119,72,1979,4,19,138,169,1
17911627,J. Immunol.,6.068,2,0,0,6,0,0,0,0,0,1984,6,9,92,157,1982,9,15,239,367,0
17913878,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,11,0,0,6745248,1,0,1995,6,31,25,231,1979,20,59,103,1657,1
17913887,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,0,0,12,0,0,0,0,0,2004,1,10,3,11,1989,13,32,89,700,1
17923686,Mol. Cell. Biol.,6.42,2,0,0,8,0,0,0,0,0,2003,0,0,2,0,1971,8,20,201,350,1
17923700,Mol. Cell. Biol.,6.42,2,1,0,7,0,0,0,0,0,1997,3,39,4,122,2000,6,19,11,122,0
17925448,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,5,,,,,,2002,3,18,3,55,1986,15,64,31,1028,1
17940048,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,10,,,,,,1992,7,15,20,135,1983,18,56,90,1298,0
17942684,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,11,1,0,2308589,1,1,1989,3,21,7,66,1972,16,22,155,926,0
17942703,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,0,14,0,0,0,0,0,1999,4,8,18,51,2000,6,16,25,128,0
17942899,Cancer Res.,7.672,2,0,0,10,0,0,0,0,0,1966,0,0,5,0,1982,26,51,313,2583,0
17942926,Cancer Res.,7.672,2,1,1,10,0,0,590762,0,0,2003,1,2,24,3,1988,5,16,100,173,0
17947353,Endocrinology,5.045,0,1,1,4,0,0,194844,0,1,1999,1,1,7,1,1986,6,10,53,96,0
17947360,Endocrinology,5.045,0,1,1,7,1,0,3531031,1,1,2004,1,1,3,1,1999,1,2,10,6,0
17947375,Mol. Endocrinol.,5.337,1,1,1,7,0,0,3126520,1,1,2000,4,14,8,68,1977,11,25,94,591,1
17947657,J. Immunol.,6.068,2,1,1,6,0,0,386440,0,1,1989,3,5,69,44,1975,6,13,328,235,0
17951577,J. Biol. Chem.,5.581,2,0,0,7,0,0,0,0,0,2004,1,3,7,5,1993,12,27,71,509,0
17962383,Mol. Endocrinol.,5.337,1,0,0,11,0,0,0,0,0,1988,4,18,24,97,1976,18,54,180,1241,1
17965410,J. Biol. Chem.,5.581,2,0,0,6,0,0,0,0,0,1997,6,12,15,90,1990,13,20,126,677,1
17965412,J. Biol. Chem.,5.581,2,1,1,5,,,,,,1998,2,9,19,28,1990,12,36,37,534,1
17967875,Mol. Cell. Biol.,6.42,2,1,1,12,0,0,1076062,0,1,2000,3,3,16,20,1983,14,23,188,867,1
17967881,Mol. Cell. Biol.,6.42,2,0,0,9,0,0,0,0,0,2004,1,2,4,3,1991,5,6,31,70,1
17967885,Mol. Cell. Biol.,6.42,2,1,1,8,1,0,1945157,1,1,2003,2,3,7,12,1999,7,12,25,118,0
17971436,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,0,6,0,0,0,0,0,2005,1,1,2,1,1979,22,49,185,1989,1
17974566,J. Biol. Chem.,5.581,2,1,1,2,0,0,417859,0,1,2003,1,2,6,3,1994,6,19,25,164,0
17974957,Cancer Res.,7.672,2,1,1,8,1,0,8581124,1,1,2001,4,9,7,41,1987,13,38,90,742,1
17974976,Cancer Res.,7.672,2,1,1,7,0,0,481958,0,0,2000,3,4,10,20,1968,19,29,450,2100,0
17974981,Cancer Res.,7.672,2,1,1,8,0,0,12648685,1,1,1999,1,2,7,2,1997,4,8,38,69,0
17975013,Blood,10.896,2,1,1,8,1,0,3152101,1,1,2002,1,2,13,6,1991,9,22,21,246,1
17975066,Science,26.372,2,1,1,9,,,,,,2003,2,8,4,16,1987,18,42,70,990,1
17978178,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,0,1,7,1,0,2125652,1,1,1998,4,11,75,58,1992,18,54,83,1278,1
17978184,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,6,1,1,3439436,1,1,1998,1,4,6,5,1989,12,22,107,421,1
17982039,J. Immunol.,6.068,2,1,1,6,1,0,2325819,1,1,2001,3,4,27,25,1988,6,9,73,153,0
17982131,Am. J. Pathol.,5.487,1,0,0,9,0,0,0,0,0,1998,3,5,33,29,1981,25,48,389,2451,0
17984051,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,0,1,15,1,1,9938895,1,1,2001,7,28,28,248,1985,11,27,62,425,1
17984056,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,16,0,0,296441,0,1,1994,1,1,6,1,2000,5,16,21,90,1
17984176,FASEB J.,6.791,1,1,1,11,,,,,,1998,3,12,33,53,1969,12,25,203,683,1
17991715,Am. J. Pathol.,5.487,1,0,1,6,0,0,129060,0,0,2003,1,3,2,3,1986,11,18,95,354,1
17994021,Nat. Genet.,25.556,2,1,1,8,,,,,,2005,0,0,1,0,1995,7,11,16,110,1
17994089,Nature,28.751,2,1,1,5,0,0,617707,0,1,2005,0,0,2,0,1987,9,20,42,282,1
18000312,J. Endocrinol.,2.636,1,1,1,5,1,0,3695580,1,1,2007,0,0,0,0,1969,13,20,211,597,0
18003620,J. Biol. Chem.,5.581,2,1,1,5,0,0,443262,0,1,1999,3,12,7,42,1977,46,89,258,7284,1
18003922,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,0,1,14,,,,,,1999,2,4,10,14,1989,3,5,66,57,0
18006809,Cancer Res.,7.672,2,1,1,4,0,0,5331937,1,0,1986,4,5,14,31,1977,27,64,127,2241,0
18006811,Cancer Res.,7.672,2,0,0,12,0,0,0,0,0,1975,2,2,6,6,1993,8,14,32,159,1
18006812,Cancer Res.,7.672,2,0,0,15,0,0,0,0,0,1994,3,8,83,40,1981,14,23,286,664,1
18024791,Blood,10.896,2,0,0,4,0,0,0,0,0,2008,0,0,0,0,1980,8,11,171,277,0
18024792,Blood,10.896,2,0,1,14,0,0,386471,0,1,2003,1,5,1,5,2001,4,7,55,63,0
18025081,J. Biol. Chem.,5.581,2,1,1,4,0,0,1163948,0,1,2008,0,0,0,0,1998,9,11,46,181,0
18025184,J. Immunol.,6.068,2,0,0,11,0,0,0,0,0,1999,9,36,32,404,1980,4,9,111,64,1
18025228,J. Immunol.,6.068,2,1,0,5,0,0,0,0,0,1993,4,6,20,45,1978,3,7,49,42,1
18026111,Nat. Methods,15.478,2,0,0,10,0,0,0,0,0,2005,1,3,1,3,2003,6,21,18,149,1
18032389,J. Biol. Chem.,5.581,2,0,0,7,0,0,0,0,0,2008,0,0,0,0,1986,8,12,74,208,1
18032636,FASEB J.,6.791,1,1,1,7,0,0,521000,0,1,2002,3,7,13,32,1958,27,46,483,3742,0
18032706,Blood,10.896,2,0,0,8,0,0,0,0,0,1999,3,6,10,25,1983,8,11,143,278,1
18039671,J. Biol. Chem.,5.581,2,1,1,8,0,0,414480,0,1,1998,2,2,7,8,1991,4,14,31,86,1
18042454,Mol. Cell,13.156,2,0,0,7,0,0,0,0,0,2005,1,2,2,2,1993,6,23,15,157,1
18042700,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,7,0,0,602325,0,0,2002,3,4,4,14,1985,34,103,124,4367,0
18055543,Am. J. Pathol.,5.487,1,0,0,13,0,0,0,0,0,2003,0,0,4,0,1989,7,9,175,277,1
18055552,Am. J. Pathol.,5.487,1,1,1,9,0,0,1761190,1,0,1998,7,19,13,144,1991,6,12,65,119,0
18056365,J. Immunol.,6.068,2,0,1,12,1,0,8306408,1,1,2007,0,0,0,0,1987,20,41,126,1226,1
18056390,J. Immunol.,6.068,2,0,0,8,0,0,0,0,0,2007,0,0,0,0,1990,10,16,96,310,1
18056454,Cancer Res.,7.672,2,1,1,5,0,0,1999999,1,0,1997,2,3,16,17,1987,6,13,80,154,0
18056462,Cancer Res.,7.672,2,0,0,8,0,0,0,0,0,2007,0,0,0,0,1975,4,5,413,204,0
18056709,J. Biol. Chem.,5.581,2,0,1,13,0,0,524533,0,0,1993,2,3,15,17,1989,3,9,26,43,0
18056805,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,16,0,0,1714571,1,0,2005,0,0,3,0,2000,8,14,28,179,0
18059283,Nat. Med.,26.382,2,1,1,7,0,0,2451967,1,1,2003,1,3,3,3,1982,10,19,177,515,1
18066051,Nat. Cell Biol.,17.623,2,0,1,8,,,,,,1998,3,5,21,29,1983,18,56,90,1298,1
18077340,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,10,0,0,317153,0,0,1999,2,9,6,20,1990,7,37,18,277,0
18077346,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,0,0,7,0,0,0,0,0,1998,3,8,7,24,1986,23,55,124,1939,1
18077349,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,9,1,1,1314350,1,1,2001,2,2,7,8,1983,7,12,58,201,0
18077449,J. Biol. Chem.,5.581,2,0,0,4,0,0,0,0,0,2002,1,2,4,2,2001,2,3,8,10,0
18079192,Endocrinology,5.045,0,0,0,6,0,0,0,0,0,1994,5,9,12,59,1993,6,30,18,185,0
18079202,Endocrinology,5.045,0,0,0,11,0,0,0,0,0,2004,1,1,6,1,2005,0,0,1,0,0
18086871,Blood,10.896,2,0,0,11,0,0,0,0,0,1995,2,4,7,8,1973,4,8,98,84,1
18087037,Proc. Natl. Acad. Sci. U.S.A.,9.598,2,1,1,8,0,0,2992184,1,1,2007,0,0,0,0,1986,11,19,106,519,1
18089780,Cancer Res.,7.672,2,0,0,11,0,0,0,0,0,2006,1,1,2,1,1994,10,28,38,368,1
18089782,Cancer Res.,7.672,2,1,1,9,1,0,4039635,1,1,1998,6,8,43,90,1975,24,39,363,2158,1
18089832,Cancer Res.,7.672,2,1,0,4,0,0,0,0,0,2007,0,0,0,0,1973,4,11,109,106,1
18097052,J. Immunol.,6.068,2,1,1,8,0,0,1020787,0,1,2007,0,0,0,0,1995,11,16,60,377,1
18097065,J. Immunol.,6.068,2,1,1,6,,,,,,1996,1,3,12,5,1984,8,14,41,183,1
18097068,J. Immunol.,6.068,2,0,0,8,0,0,0,0,0,2007,0,0,0,0,1981,14,24,187,657,0
18156210,Am. J. Pathol.,5.487,1,1,1,11,,,,,,1999,0,0,1,0,2004,1,3,15,7,0
18158288,J. Biol. Chem.,5.581,2,0,0,5,0,0,0,0,0,1998,2,5,6,13,1995,3,5,21,33,0
18162513,Endocrinology,5.045,0,1,1,9,0,0,538200,0,1,1992,4,5,39,59,1980,3,4,35,40,0
18165222,J. Biol. Chem.,5.581,2,1,1,9,,,,,,2001,2,3,7,9,1999,2,10,6,24,0
18172293,Cancer Res.,7.672,2,0,0,16,0,0,0,0,0,1996,0,0,17,0,1986,1,1,26,2,1
18172294,Cancer Res.,7.672,2,1,1,5,0,0,3998479,1,1,2005,1,1,3,1,1994,5,9,53,110,1
18172295,Cancer Res.,7.672,2,0,0,9,0,0,0,0,0,2005,0,0,3,0,1998,6,11,28,97,0
18180321,J. Endocrinol.,2.636,1,1,1,6,0,0,1634313,1,0,2001,1,4,11,4,1975,12,21,178,480,0
